pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
broad_lam_like,program_3,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,0.6293733886559643
broad_lam_like,program_4,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,0.08292930818698384
broad_lam_like,program_5,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.053154236476976854
broad_lam_like,program_1,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.05671379766654665
broad_lam_like,program_2,LAF_niche,microenvironment,supported,gene_set,0,,0.0,0.3398326094102074
broad_lam_like,program_3,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.16346516170241165
broad_lam_like,program_4,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.23607430168827806
broad_lam_like,program_5,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.0508308484210711
broad_lam_like,program_1,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.2945813986116939
broad_lam_like,program_2,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,0.3993088311526626
broad_lam_like,program_3,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.10456188913112108
broad_lam_like,program_4,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,-0.25669868160116116
broad_lam_like,program_5,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,0,,0.0,0.25690376174415014
broad_lam_like,program_1,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.3186112454777702
broad_lam_like,program_2,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,-0.08521067383816487
broad_lam_like,program_3,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,-0.02871388821801549
broad_lam_like,program_4,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.10571142465671875
broad_lam_like,program_5,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.038059801019646095
broad_lam_like,program_1,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,0.3145407973628778
broad_lam_like,program_2,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,-0.533291080035191
broad_lam_like,program_3,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,0.006141013963019266
broad_lam_like,program_4,IL6_AT2_repair,microenvironment,supported,gene_set,3,"SFTPA1,SFTPA2,SFTPC",0.05263157894736842,0.6923742295071634
broad_lam_like,program_5,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,-0.08914366125329003
broad_lam_like,program_1,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.2656304854773327
