dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE302356,scRNA,TAPBP,True,5814,1.0017157375272028,1.7543247303707203,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TIGIT,True,786,1.0965500028221336,1.8539382121123025,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TNFAIP3,True,3940,1.0437781373809498,2.056476895716516,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TOX,True,471,0.8089604952501668,1.318314885984264,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TRBC1,True,1713,1.3457090810048122,2.337424776360579,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TRBC2,True,2296,1.121108182169681,2.03884165598598,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TREM2,True,345,0.6087802156075438,1.3518345683337811,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TYROBP,True,5459,2.00432258417798,3.097240402701235,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,TYRP1,True,31,0.6937618877450538,1.2735589573209762,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,ULBP1,True,123,0.7612578762634994,1.361706485289253,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,ULBP2,True,190,0.8317314101117779,1.4474091983655364,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,ULBP3,True,8,,,False,nonzero normalized expression within dataset x assay
GSE302356,scRNA,VEGFD,True,108,0.8926284894976915,2.1961234858608165,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,FIGF,False,0,,,False,not_assayed
GSE302356,scRNA,ULBP4,False,0,,,False,not_assayed
GSE302356,scRNA,ULBP5,False,0,,,False,not_assayed
GSE302356,scRNA,ULBP6,False,0,,,False,not_assayed
