row_type,branch_id,source_state,distance_metric,score_name,n_cells,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,branch_02,State_12,latent_distance,LAMCORE_independent,605,9,-0.024933191146196954,-0.030382795655581586,-0.019483586636812322,3.38790405834147e-18,-0.2993364477928828,5.4528265576176305e-14
model,branch_02,State_12,latent_distance,CORE1,605,9,-0.017611861115216242,-0.04793010955846337,0.012706387328030887,0.25438585104868916,0.06972965217185155,0.08659082843959855
model,branch_02,State_12,latent_distance,CORE2,605,9,-0.037751065879086346,-0.056278148172227496,-0.019223983585945195,7.079880020695153e-05,-0.18856986697954717,3.0035360802057635e-06
model,branch_02,State_12,latent_distance,CORE3,605,9,-0.040025400806820974,-0.057805996764209236,-0.022244804849432708,1.1678711998339937e-05,-0.12641143704978566,0.0018370433666690612
model,branch_02,State_12,latent_distance,melanocytic,605,9,-0.00827887338968318,-0.03735168658929698,0.020793939809930616,0.576192238678675,-0.020715820288539775,0.6110728678564645
model,branch_02,State_12,latent_distance,myogenic,605,9,-0.06189016380318167,-0.09573537837816284,-0.028044949228200493,0.0003561547115352156,-0.023393712294177384,0.5657662684455015
model,branch_02,State_12,latent_distance,VEGFD,605,9,-0.021782076603804625,-0.05642605610047484,0.012861902892865592,0.2173846289681441,-0.08545965683534393,0.03559462177922552
model,branch_02,State_12,latent_distance,CTSK,605,9,-0.06355055691996468,-0.12648818556693497,-0.0006129282729943758,0.047817246299591554,-0.11446565542946889,0.004818391981272393
model,branch_02,State_12,latent_distance,lam_support,605,9,-0.058294289520665864,-0.0857448910371838,-0.030843688004147926,3.489244359581237e-05,-0.12680150362558693,0.001777583128275242
model,branch_02,State_12,latent_distance,HOX_PBX,605,9,-0.03294875633671215,-0.05321163592726857,-0.012685876746155726,0.001479719901009796,-0.026037344180159374,0.5226811946825536
model,branch_02,State_12,latent_distance,hormone,605,9,-0.033768812771257706,-0.055926054388541056,-0.011611571153974355,0.002875431356047501,-0.055164922075223013,0.17538456806967187
model,branch_02,State_12,latent_distance,ECM,605,9,-0.054157519141624005,-0.08228172866374295,-0.02603330961950507,0.00017134914963700838,-0.13084182038774556,0.0012575113018980606
