"gene_symbol","GSM2795553","GSM2795554","GSM2795555","GSM2795556","GSM2795557","GSM2795558","GSM2795559","GSM2795560","GSM2795561"
"MIR30E",4.54571008682251,4.84739875793457,5.05049896240234,4.80158996582031,4.92411804199219,4.99914312362671,4.55994892120361,4.91426706314087,4.65920639038086
"MIR31",4.38636064529419,4.54139471054077,4.43045949935913,4.38677263259888,4.38677263259888,4.10791826248169,4.2931637763977,4.18997764587402,4.26012468338013
"MIR3115",4.47442054748535,4.33964395523071,4.4833869934082,4.49652338027954,4.47619962692261,4.51830387115479,4.59284782409668,4.4833869934082,4.4833869934082
"MIR3117",4.33969593048096,4.21158075332642,4.35033702850342,4.42375659942627,4.41147613525391,4.41847324371338,4.43043613433838,4.43189430236816,4.41054344177246
"MIR3119-1",4.20478820800781,4.14575576782227,4.25615215301514,4.32745790481567,4.331787109375,4.51735591888428,4.31764078140259,4.27374315261841,4.26936054229736
"MIR3119-2",5.11169338226318,5.21523094177246,4.70378494262695,5.00618696212769,4.94700336456299,5.00618696212769,4.97405290603638,5.08854627609253,5.02558088302612
"MIR3120",3.89596581459045,3.96100187301636,3.99963569641113,3.99255299568176,3.96100187301636,4.03654432296753,3.93082284927368,3.92159986495972,3.9174280166626
"MIR3121",4.72539472579956,4.7376651763916,4.75542402267456,4.75345325469971,4.76885604858398,4.9049654006958,4.73870897293091,4.75542402267456,4.96002960205078
"MIR3122",4.4790678024292,4.42605543136597,4.49269819259644,4.49124050140381,4.59305000305176,4.62622451782227,4.49124050140381,4.42514514923096,4.34156560897827
"MIR3123",4.96580410003662,4.88786745071411,4.94183683395386,4.94609928131104,5.09961700439453,5.03383350372314,4.94077968597412,4.92893314361572,4.9448823928833
"MIR3124",4.31399965286255,4.36826372146606,4.31715488433838,4.31399965286255,4.42850399017334,4.29259014129639,4.3104510307312,4.31399965286255,4.33376121520996
"MIR3125",5.25253391265869,5.47371625900269,5.64998483657837,5.52379417419434,5.52379417419434,5.54566287994385,5.84382057189941,5.52379417419434,5.32997751235962
"MIR3126",7.52235507965088,7.52235507965088,7.6203465461731,7.56474018096924,7.52235507965088,7.91466426849365,7.51979446411133,7.29354333877563,7.2546238899231
"MIR3127",4.31366872787476,3.98878288269043,4.31366872787476,4.36209201812744,4.36606788635254,4.30891036987305,4.31366872787476,4.31366872787476,4.13444995880127
"MIR3128",3.98848128318787,4.03575325012207,3.80597019195557,3.7925500869751,4.03575325012207,3.99412488937378,4.5791974067688,4.03575325012207,4.79081296920776
"MIR3129",5.51865434646606,5.4532790184021,5.49050521850586,5.2799391746521,5.4532790184021,5.4532790184021,5.59731578826904,5.37882709503174,5.39911270141602
"MIR3130-1",3.8434476852417,3.83795952796936,3.85168814659119,3.74916553497314,3.87124347686768,3.8411808013916,3.89033436775208,3.81406164169312,3.86478900909424
"MIR3130-2",4.45444869995117,4.38957834243774,4.46526622772217,4.46526622772217,4.53649473190308,4.47084379196167,4.38516855239868,4.54485416412354,4.45718002319336
"MIR3131",3.50091791152954,3.43058323860168,3.38417625427246,3.40620636940002,3.39375233650208,3.28750467300415,3.3891818523407,3.40262675285339,3.42871308326721
"MIR3132",4.21333503723145,4.07070827484131,4.33731365203857,4.16649627685547,4.21333503723145,4.25296115875244,4.3010892868042,4.21333503723145,4.1902756690979
"MIR3136",4.95816707611084,4.96744012832642,5.1044979095459,4.96750354766846,4.84346580505371,5.29053449630737,5.13253259658813,4.50190496444702,4.96750354766846
"MIR3138",4.0615873336792,3.76516652107239,4.23503494262695,4.09478092193604,4.06335687637329,4.0615873336792,4.08734798431396,4.0596923828125,3.90080380439758
"MIR3140",4.32141494750977,4.14782094955444,4.36460733413696,4.29258060455322,4.18061542510986,4.3246693611145,4.55444669723511,4.14733600616455,4.43303108215332
"MIR3141",6.05005025863647,5.65032052993774,6.01685810089111,5.8224778175354,5.82455635070801,5.8224778175354,5.82694721221924,5.8224778175354,5.33852434158325
"MIR3142",3.3711109161377,3.58551812171936,3.3711109161377,3.42386412620544,3.3711109161377,3.35100030899048,3.38754749298096,3.29955911636353,3.28348207473755
"MIR3142HG",4.29333877563477,4.28476524353027,4.32020998001099,4.3689603805542,4.32020998001099,4.29736185073853,4.35583162307739,4.32020998001099,4.28670930862427
"MIR3143",8.56942558288574,8.41469192504883,8.09317398071289,8.83370113372803,8.75048923492432,8.52920150756836,8.98241996765137,9.10685348510742,9.30287075042725
"MIR3145",5.97192335128784,6.15159034729004,5.98892974853516,6.30368280410767,6.18576717376709,6.18738412857056,6.24939918518066,6.25998973846436,6.06703329086304
"MIR3146",4.87729835510254,4.60343170166016,4.60343170166016,4.57980155944824,4.60343170166016,4.60504913330078,4.60343170166016,4.64631462097168,4.30496120452881
"MIR3147",3.96015572547913,3.97554707527161,3.83279395103455,3.80078315734863,3.83724331855774,3.83103799819946,3.99494791030884,3.83201432228088,3.65503072738647
"MIR3148",4.49067687988281,4.59215307235718,4.56884384155273,4.40251684188843,4.49332427978516,4.50119304656982,4.56884384155273,4.57409572601318,4.56884384155273
"MIR3150A",5.64503049850464,5.79604768753052,5.99191427230835,5.80937004089355,5.99469804763794,5.80937004089355,5.80937004089355,5.90614128112793,5.44906044006348
"MIR3150B",4.38931083679199,4.49177598953247,4.38061618804932,4.26559448242188,4.29027700424194,4.37505865097046,4.48655223846436,4.42746829986572,4.40545892715454
"MIR3151",4.64475250244141,4.84008884429932,4.68767833709717,4.59881401062012,4.69491815567017,4.69916343688965,4.86764240264893,4.56351184844971,4.69496726989746
"MIR3152",3.94591784477234,3.94591784477234,3.95015597343445,3.89181900024414,3.880375623703,3.94591784477234,4.01113414764404,4.08885812759399,3.9197473526001
"MIR3153",10.5294857025146,10.0596704483032,10.4646377563477,10.349437713623,10.3875341415405,10.3058137893677,10.476113319397,10.3555669784546,9.8636474609375
"MIR3154",5.53883790969849,5.54849147796631,5.52280139923096,5.58049392700195,5.58160734176636,5.52598667144775,5.48347520828247,5.52598667144775,5.3500485420227
"MIR3155A",5.42710399627686,5.34950160980225,5.49911022186279,5.52848148345947,5.44372844696045,5.45904159545898,5.55468511581421,5.45904159545898,5.28040170669556
"MIR3155B",5.67202091217041,5.53442287445068,5.87616395950317,5.5729398727417,5.57657527923584,5.61703443527222,5.38435506820679,5.63658285140991,5.43098402023315
"MIR3156-1",5.88468170166016,5.73899078369141,5.98061466217041,5.86283731460571,6.24453067779541,6.06160593032837,5.88468170166016,5.88468170166016,5.75342750549316
"MIR3156-2",4.7766318321228,4.43678379058838,4.5775465965271,4.5775465965271,4.74439239501953,4.5775465965271,4.58189630508423,4.55506086349487,4.57428932189941
"MIR3156-3",4.53673267364502,4.47403049468994,4.53673267364502,4.53673267364502,4.67966175079346,4.53673267364502,4.54108238220215,4.54155254364014,4.53673267364502
"MIR3157",3.46230506896973,3.4465446472168,3.35457754135132,3.44542217254639,3.35604119300842,3.50337100028992,3.59171152114868,3.44542217254639,3.43875169754028
"MIR3158-1",3.34469604492188,3.2302234172821,3.3057370185852,3.32934856414795,3.32934856414795,3.33636999130249,3.37232065200806,3.36451029777527,3.265625
"MIR3158-2",3.62225914001465,3.49697375297546,3.50223302841187,3.58884501457214,3.66604995727539,3.7922580242157,3.67287516593933,3.83337426185608,3.62840604782104
"MIR3160-1",3.73460531234741,3.79676389694214,3.7998833656311,3.80151200294495,3.81613254547119,3.82325744628906,3.86950612068176,3.91501379013062,3.76565337181091
