gene,gse104335_logFC_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_P.Value_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_adj.P.Val_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_vehicle,tsc2_loss_hydrogel,tsc2_loss_hydrogel_moderated_q,residual_hydrogel,residual_hydrogel_moderated_q,hydrogel_specific_residual,hydrogel_specific_residual_moderated_q,escape_hydrogel,escape_hydrogel_moderated_q,environment_dependent_escape,environment_dependent_escape_moderated_q
RN7SL43P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL440P,,,,,,,,,,-0.1057487298853862,0.4909989351477303,-0.013500668657874,1.0,-0.013500668657874,1.0,0.0922480612275122,1.0,0.0267174037948273,1.0
RN7SL441P,,,,,,,,,,0.0,1.0,-0.0095400240037394,1.0,0.0879144467994393,1.0,-0.0095400240037394,1.0,0.0879144467994393,1.0
RN7SL442P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL443P,,,,,,,,,,0.0134443222853101,1.0,0.0185147451085794,1.0,-0.0407183218451904,1.0,0.0050704228232692,1.0,0.0347498361319859,1.0
RN7SL444P,,,,,,,,,,0.0464368039365888,1.0,-0.0329730745115591,1.0,-0.0329730745115591,1.0,-0.0794098784481479,1.0,-0.0739577748720829,1.0
RN7SL445P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL446P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL447P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL448P,,,,,,,,,,0.0,1.0,0.1776828705333311,0.2892142811984918,0.1776828705333311,1.0,0.1776828705333311,0.6719934348834659,0.1607337035686314,1.0
RN7SL449P,,,,,,,,,,0.0317564127345618,1.0,0.0,1.0,0.0,1.0,-0.0317564127345618,1.0,-0.0487055796992614,1.0
RN7SL44P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL451P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL452P,,,,,,,,,,-0.1773276455654291,0.3727803686210299,0.0437358421285814,1.0,-0.0050013813789226,1.0,0.2210634876940106,0.7501392671886961,0.150796422716189,1.0
RN7SL454P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL455P,,,,,,,,,,0.0460838772356333,0.9276273866089516,-0.0414951880071896,1.0,-0.0414951880071896,1.0,-0.0875790652428229,0.8844360697782008,-0.0892059529771468,1.0
RN7SL456P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL457P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL459P,,,,,,,,,,-0.0013625925000247,1.0,-0.0916607047049863,0.6690820442907551,-0.0482731168935418,1.0,-0.0902981122049615,1.0,-0.0594438199921571,1.0
RN7SL45P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL460P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0268956840189269,1.0,0.0,1.0,0.0268956840189269,1.0
RN7SL461P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL464P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL465P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0169491669646996,1.0
RN7SL466P,,,,,,,,,,0.0,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0
RN7SL468P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL470P,,,,,,,,,,0.0,1.0,0.0159125464233206,1.0,0.0159125464233206,1.0,0.0159125464233206,1.0,-0.0301299619252118,1.0
