gene,mean,median,max,count
VPS9D1,0.730944947,0.0090664965,2.942579861,8
C12orf4,0.6376604251111111,0.242791033,2.941888032,9
HOXB6,1.87957897725,1.76917556,2.941805455,4
DEPDC1,1.611372206,1.107951999,2.940777719,5
METTL10,1.213422831857143,1.157449243,2.93809727,7
TIMM13,2.489798498,2.489798498,2.935892229,2
ARFGAP1,0.5128107150869565,0.394151724,2.934661782,23
PPP2R2A,0.38767064375,0.058478749999999996,2.931876379,24
RARB,0.567966548,0.184033692,2.931375,8
TOMM7,0.8209964718571429,0.597206406,2.928826314,7
ATP13A1,0.998850218,0.534132566,2.926854648,15
GSG2,2.920767172,2.920767172,2.920767172,1
RSL1D1,0.995801112,0.23097104499999999,2.918866883,12
LAPTM4B,1.81297463825,1.901174693,2.918384294,4
OLFM2,0.8663278,0.345982,2.91744,5
IRF8,0.6248876363636363,0.0895125,2.91682,11
EFNB3,2.916779636,2.916779636,2.916779636,1
HDAC1,1.5220702843,1.4575363835,2.916129826,10
AZI2,0.6344807605,0.563976452,2.914745,14
SF3A3,1.333409095125,1.5678014084999998,2.914195,8
ATP7B,0.46355478066666667,0.132557,2.912415371,9
BCL6B,0.6072066666666667,0.0,2.90952,6
RNASEH2B,0.9126203767777779,0.471099966,2.908808074,9
WDR77,1.9417337655,1.7759742975,2.904513991,4
CAMKMT,0.4692380094,0.0675023365,2.903895408,10
MRPS2,0.9778122015,0.6786496605000001,2.90353377,8
FOXO1,1.4489924185,1.4489924185,2.897984837,2
RPL23,0.9374492360909091,0.710818571,2.8964736,11
SNAP47,0.5151637447692308,0.125167676,2.89609914,13
FAM155B,2.89539,2.89539,2.89539,1
SLC27A4,1.6871896455000002,1.6871896455000002,2.895263791,2
GYG2,0.5174434375,0.14215224999999998,2.895215,8
SFXN4,0.54539762975,0.1397867555,2.891879547,8
OCLN,0.6737696356363636,0.0,2.891459926,11
BAIAP2L1,0.8334194260000001,0.36846746,2.890554999,5
TSC1,0.679317584625,0.3879212555,2.88991527,8
SFXN1,1.13349522275,0.751954338,2.889127121,12
MBOAT7,0.10507662922535212,0.0,2.88775162,71
DFFA,2.2036867966666667,2.692912087,2.887461153,3
RPS11,1.4746593783333333,1.27897374,2.886237108,9
C10orf2,2.1340354654,2.733977338,2.884369446,5
TP53I11,0.327083133173913,0.057682,2.883470529,23
NUP54,0.528273906,0.2810798285,2.880242624,18
TSNAX,1.0738586963999999,0.223052102,2.879909781,5
POLB,0.6622436944117647,0.2688005,2.877110441,17
HES4,1.0374264579999999,0.6181687655,2.876792401,4
PSMA1,0.8615845254285714,0.8560822020000001,2.876315545,14
CSNK1G2,1.0618451695454545,1.091694633,2.872899741,11
