gene_symbol,tpm.103cell_siCtrl,tpm.103cell_siSTAT3,tpm.103cell_Rap,tpm.102cell_siCtrl,tpm.102cell_siSTAT3,tpm.102cell_Rap
TROAP,77.265468,72.48814899999999,71.156141,114.141958,102.814404,116.868496
TSPAN31,21.979298,22.10139,35.56586,33.54782,32.448287,54.758474
TFCP2,19.73546,18.46916,18.64163,34.733266,36.411334,27.814699
PAN2,45.781276,51.3502010021898,51.914393000000004,62.309267,56.002082,77.65807200465653
ESPL1,17.86626,16.0690824,16.034437,40.404098726,33.965095000000005,32.344855
ZC3H10,3.073609,2.7889850000000003,2.999553,4.445117,4.4729600000000005,4.726224
KRT84,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1B,18.008872,16.87067,24.680576000000002,19.659232999999997,20.529052,17.8022552
OS9,184.683725,184.406644134,230.89680897,138.100446,139.419388,160.504366
KRT82,0.0,0.0,0.0,0.0,0.0,0.0
MIP,0.1487544,0.0690572,0.10924539999999999,0.532195,0.467878,0.3150003
KCNH3,1.1927837000000001,0.0150952,0.109736,0.827334,3.218963,4.047938
PKIB,25.232132,31.535504,25.752996999999997,12.299706,13.324104,15.432989000000001
TAAR5,0.0,0.0,0.0,0.0,0.0,0.0
NMBR,0.0440002,0.142503,0.271822,0.0297629,0.390993,0.25934
SMPD2,10.066534,7.898107,8.655988,18.78275,20.022592,22.697665
REPS1,41.489748292612,50.7516714,38.895548,61.844057,59.5569445,53.813619
RP11-76H14.5,0.0,0.0,0.0,0.0,0.0,0.0
HTRA2,50.589847999999996,49.895461000000005,51.180523,49.487936000000005,48.35120800000001,57.069366
PRADC1,13.323929999999999,15.603864,16.732693,12.1732,13.0482,19.861833
CCT7,283.397941,312.56241800000004,256.925431,834.243577,862.691523,770.4129690000001
RAB11FIP5,68.84759,68.32137,58.29063,21.88566,20.775401000000002,17.083952
SMYD5,48.037197,46.71631800000001,46.911292,37.171408,32.293794500000004,27.782703
DYSF,5.818353005443567,5.4056349082394,6.535667011756193,0.3729861920311046,0.16650726774191899,0.220627600211032
MRPL53,24.76709,21.46518,22.925275,31.657366000000003,27.421773,43.74619
EMX1,0.0,0.0204685,0.0,2.644464,2.061242,5.0590243454055
KCNMB4,0.407885,0.72569,0.931937,5.471265000000001,4.850348,7.82719
GNS,217.81711400000003,209.413155,212.19071999999997,69.085819,65.53069099999999,41.1556919
MDM2,29.4262,41.677239,37.675018,193.320021,184.983769,181.1948048
KLHL36,12.089896000000001,11.869118,12.815042,12.6222902,11.808812,11.338604
BCO1,0.15638180000000002,0.1173526,0.0692334,0.1743634,0.0412584,0.1008038
MPHOSPH6,83.003434,91.336227,62.744062,68.207201,66.8299653,60.571270000000005
TMEM231,10.867997,9.829976,14.748155,6.6387667291,9.080932,8.053158
KIAA0513,10.501224,7.83609,5.5191002,7.431681,7.5104693,5.827819
NDRG4,81.4854188553654,82.46610498795796,68.0096803,24.9351291,18.387242849284142,14.135872760449
DYNC1LI2,115.08975,117.243386,97.123587,78.34382699999999,64.635775,42.680903
FBXL8,10.935118,8.65951,9.6431887,10.562021,7.090514,8.88209
FHOD1,36.112448,34.174366,30.860907,39.599066,32.56488,32.926414
CCDC102A,5.93196,4.0827,6.409079999999999,4.52473,4.5342,6.04138
PCNXL2,8.5926576,8.9805124,9.5390553,12.4790703,10.888239,10.8912072
URB2,5.328851,4.949625,4.477593,22.94474,23.480620000000002,12.189441
TAF5L,11.203313,10.990248000758779,11.78530011464,36.529188,38.810344131,29.20333
STX6,25.118850000000002,25.161338999999998,23.877695,11.584213,11.2093024,9.8381294
RGS8,0.0,0.0,0.0,0.0,0.0572979,0.0
NPL,4.345293,4.2152467,5.7448159,5.236824328,5.518529000466589,5.984373
LAMC1,173.5006,166.44714,196.8985,69.77547799999999,67.42298199999999,44.407919
RC3H1,7.2529699999999995,7.93062,7.12809,7.51807,7.22631,3.565325
SP110,54.97276,58.071493,74.858975,5.1274515,6.071642899791,2.080748319494
