dataset,patient_id,identity_pool,gene,n_cells,n_assayed_cells,not_assayed_fraction,not_detected_fraction_among_assayed,detected_fraction_among_assayed,detected_low_fraction_among_assayed,detected_high_fraction_among_assayed,detected_unclassified_fraction_among_assayed
GSE190260,LAM1158,broad_lam_like,DCT,599,599,0.0,0.994991652754591,0.005008347245409015,0.001669449081803005,0.0,0.00333889816360601
GSE190260,LAM1158,broad_lam_like,MITF,599,599,0.0,0.34223706176961605,0.657762938230384,0.41402337228714525,0.0333889816360601,0.21035058430717862
GSE190260,LAM1158,broad_lam_like,GPNMB,599,599,0.0,0.5375626043405676,0.46243739565943237,0.1335559265442404,0.07679465776293823,0.25208681135225375
GSE190260,LAM1158,high_confidence,PMEL,183,183,0.0,0.8579234972677595,0.14207650273224043,0.09289617486338798,0.0273224043715847,0.02185792349726776
GSE190260,LAM1158,high_confidence,MLANA,183,183,0.0,0.9726775956284153,0.0273224043715847,0.01092896174863388,0.00546448087431694,0.01092896174863388
GSE190260,LAM1158,high_confidence,TYRP1,183,183,0.0,0.994535519125683,0.00546448087431694,0.0,0.0,0.00546448087431694
GSE190260,LAM1158,high_confidence,DCT,183,183,0.0,0.994535519125683,0.00546448087431694,0.00546448087431694,0.0,0.0
GSE190260,LAM1158,high_confidence,MITF,183,183,0.0,0.14754098360655737,0.8524590163934426,0.4207650273224044,0.07103825136612021,0.36065573770491804
GSE190260,LAM1158,high_confidence,GPNMB,183,183,0.0,0.2568306010928962,0.7431693989071039,0.16939890710382513,0.18579234972677597,0.3879781420765027
GSE190260,LAM1158,unrestricted_lam,PMEL,1275,1275,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1158,unrestricted_lam,MLANA,1275,1275,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1158,unrestricted_lam,TYRP1,1275,1275,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1158,unrestricted_lam,DCT,1275,1275,0.0,0.9984313725490196,0.001568627450980392,0.000784313725490196,0.0,0.000784313725490196
GSE190260,LAM1158,unrestricted_lam,MITF,1275,1275,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1158,unrestricted_lam,GPNMB,1275,1275,0.0,0.8752941176470588,0.12470588235294118,0.04,0.02588235294117647,0.058823529411764705
GSE190260,LAM1163,broad_lam_like,PMEL,1626,1626,0.0,0.9637146371463715,0.03628536285362854,0.017220172201722016,0.0006150061500615006,0.01845018450184502
GSE190260,LAM1163,broad_lam_like,MLANA,1626,1626,0.0,0.996309963099631,0.0036900369003690036,0.0012300123001230013,0.0006150061500615006,0.0018450184501845018
GSE190260,LAM1163,broad_lam_like,TYRP1,1626,1626,0.0,0.9993849938499385,0.0006150061500615006,0.0,0.0,0.0006150061500615006
GSE190260,LAM1163,broad_lam_like,DCT,1626,1626,0.0,0.998769987699877,0.0012300123001230013,0.0012300123001230013,0.0,0.0
GSE190260,LAM1163,broad_lam_like,MITF,1626,1626,0.0,0.576260762607626,0.4237392373923739,0.14883148831488316,0.1057810578105781,0.16912669126691268
GSE190260,LAM1163,broad_lam_like,GPNMB,1626,1626,0.0,0.9071340713407134,0.0928659286592866,0.046740467404674045,0.014145141451414513,0.03198031980319803
GSE190260,LAM1163,high_confidence,PMEL,509,509,0.0,0.5717092337917485,0.42829076620825146,0.023575638506876228,0.18271119842829076,0.2220039292730845
GSE190260,LAM1163,high_confidence,MLANA,509,509,0.0,0.9842829076620825,0.015717092337917484,0.005893909626719057,0.0019646365422396855,0.007858546168958742
GSE190260,LAM1163,high_confidence,TYRP1,509,509,0.0,0.9862475442043221,0.0137524557956778,0.0,0.0,0.0137524557956778
GSE190260,LAM1163,high_confidence,DCT,509,509,0.0,1.0,0.0,0.0,0.0,0.0
GSE190260,LAM1163,high_confidence,MITF,509,509,0.0,0.45579567779960706,0.5442043222003929,0.16699410609037327,0.14734774066797643,0.22986247544204322
