gene,KO_vehicle_minus_WT_vehicle,KO_rapamycin_minus_KO_vehicle,KO_rapamycin_vs_WT_vehicle_descriptive
RIN2,-0.8083124860000002,1.8958163713333338,1.0875038853333336
TAPT1-AS1,-2.4167551010000006,4.5829063549999995,2.166151253999999
MALSU1,-6.423093683666668,19.849953859,13.426860175333331
FBXL5,0.03369708633333346,1.9718760286666654,2.005573114999999
WDR74,-0.7602774133333341,1.4031222566666681,0.642844843333334
CXXC1P1,,,
C9orf69,-3.353885386666665,,
LETMD1,-5.154769403333331,19.187298629999994,14.032529226666664
TM9SF4,0.7271539116666665,0.66682343,1.3939773416666665
PIK3R1,2.164646302166667,0.3361886168333337,2.5008349190000008
ADM5,0.3357886621666668,-0.19130919466666674,0.14447946750000007
TMEM164,-0.5359429633333335,6.666887750000001,6.130944786666667
TRIB1,0.4825157601666663,1.8058522216666661,2.2883679818333325
ADIPOR2,0.21885224400000247,-0.04346039400000379,0.17539184999999868
PARD3,-2.5734970473333343,3.3276489466666668,0.7541518993333325
SLC25A17,0.5661183390000009,1.5153238190000007,2.0814421580000015
C21orf91-OT1,,,
UTP15,-0.715291220000001,3.0592248600000005,2.3439336399999995
LOC100506731,-0.8170653110000001,-0.149229654,-0.9662949650000001
